MaNV,TenNV,ChucVu,BoPhan,CCCD,SDT_NV,Email_NV,NgaySinh,GioiTinh
NV000514,Huynh Viet,Tiep vien,Khai thac bay,934376987065,034211207300,nv514@airline.vn,1961-01-23,Khac
NV000515,Bui Van Nam,Dieu hanh,Phuc vu mat dat,397038052852,034502985400,nv515@airline.vn,1995-11-03,Nam
NV000516,Bui Duc Yen,Phi cong,Tai chinh,258585641274,033564809100,nv516@airline.vn,1994-08-01,Khac
NV000517,Le Duc Thu,Dieu hanh,Dieu hanh bay,298447615729,033726116100,nv517@airline.vn,1965-08-27,Nu
NV000518,Le Duc Khanh,Phi cong,Ky thuat may bay,811649869677,097459007100,nv518@airline.vn,1971-07-04,Nam
NV000519,Dang Van Dat,Phi cong,Phuc vu mat dat,517923849015,096824140100,nv519@airline.vn,1966-12-13,Nam
NV000520,Nguyen Van Yen,Tiep vien,An toan bay,591341493953,097384936200,nv520@airline.vn,1963-03-25,Nam
NV000521,Nguyen Duc Dat,Tiep vien,Dieu hanh bay,984304828953,086327401600,nv521@airline.vn,1964-10-12,Nam
NV000522,Vu Van Bao,Phi cong,Ky thuat may bay,621687542630,096625107500,nv522@airline.vn,1961-01-04,Khac
NV000523,Pham Duc Hung,Dieu hanh,Khai thac bay,976284984061,086462703000,nv523@airline.vn,1989-02-07,Nam
NV000524,Vo Thi Khanh,Phi cong,Khai thac bay,693582492769,098738666200,nv524@airline.vn,1996-01-24,Khac
NV000525,Tran Thu,Tiep vien,Phuc vu mat dat,126284986377,098525949700,nv525@airline.vn,1980-12-25,Nu
NV000526,Vu Dung,Phi cong,An toan bay,702013470702,098214760600,nv526@airline.vn,1990-01-15,Nu
NV000527,Hoang Manh,Phi cong,Phuc vu mat dat,348356709640,098605890700,nv527@airline.vn,1978-03-06,Nu
NV000528,Le Chi,Phi cong,Phuc vu mat dat,299038754076,033552780300,nv528@airline.vn,1965-03-24,Nam
NV000529,Bui Duc Nam,Ky thuat,Dieu hanh bay,301362248526,086137923100,nv529@airline.vn,1973-11-06,Khac
NV000530,Huynh Van Phu,Tiep vien,Phuc vu mat dat,548696628239,032881178500,nv530@airline.vn,1998-05-24,Nam
NV000531,Le Duc Nam,Tiep vien,An toan bay,484571585997,032741334100,nv531@airline.vn,1962-03-04,Nam
NV000532,Bui Duc Dung,Dieu hanh,An toan bay,285074086993,098821197200,nv532@airline.vn,1994-07-25,Nu
NV000533,Bui Bao,Tiep vien,Dieu hanh bay,570539448254,098961837400,nv533@airline.vn,1986-03-07,Khac
NV000534,Vu Van Binh,Dieu hanh,An toan bay,440458768827,086534224300,nv534@airline.vn,1961-09-24,Nam
NV000535,Vo Van Bao,Dieu hanh,Khai thac bay,136815974620,086589183200,nv535@airline.vn,1996-03-03,Khac
NV000536,Hoang Van Binh,Ky thuat,An toan bay,897734242082,098987659800,nv536@airline.vn,1972-07-20,Nam
NV000537,Pham Thi Phu,Tiep vien,An toan bay,659501161334,086553687800,nv537@airline.vn,1988-01-17,Nam
NV000538,Tran Manh,Tiep vien,Ky thuat may bay,303717572206,033116321400,nv538@airline.vn,1970-02-06,Nam
NV000539,Vo Van Hung,Tiep vien,Ky thuat may bay,934117598423,033103319100,nv539@airline.vn,1963-01-01,Khac
NV000540,Pham Oanh,Ky thuat,Phuc vu mat dat,222809194050,096108102100,nv540@airline.vn,1960-09-17,Nam
NV000541,Tran Van Nam,Ky thuat,Khai thac bay,735754556752,098254929600,nv541@airline.vn,1984-10-25,Nam
NV000542,Pham Hung,Tiep vien,Dieu hanh bay,841233926773,096871468600,nv542@airline.vn,1962-07-01,Nu
NV000543,Hoang Van Bao,Dieu hanh,Dieu hanh bay,526309920665,033168166600,nv543@airline.vn,1963-01-20,Nu
NV000544,Pham Manh,Phi cong,Khai thac bay,192108447877,032978105000,nv544@airline.vn,1965-06-03,Nu
NV000545,Hoang Thi Phu,Dieu hanh,Ky thuat may bay,306236474534,097535828800,nv545@airline.vn,1960-02-12,Nam
NV000546,Huynh Duc Manh,Ky thuat,Dieu hanh bay,589754997618,034729249300,nv546@airline.vn,1996-10-20,Nu
NV000547,Hoang Duc Cuong,Ky thuat,Dieu hanh bay,260810519479,097190040800,nv547@airline.vn,1966-01-18,Nam
NV000548,Hoang Thi An,Dieu hanh,Khai thac bay,657008803900,033331144300,nv548@airline.vn,1974-09-15,Nu
NV000549,Nguyen Hung,Tiep vien,Khai thac bay,480237227630,096217487100,nv549@airline.vn,1991-05-23,Nu
NV000550,Le Thi Viet,Tiep vien,Tai chinh,314623548804,086622732800,nv550@airline.vn,1970-04-12,Khac
NV000551,Nguyen Duc An,Phi cong,Phuc vu mat dat,205741042308,098334024000,nv551@airline.vn,1995-12-11,Nam
NV000552,Dang Dung,Phi cong,Tai chinh,964047301645,097649225600,nv552@airline.vn,1982-10-01,Nu
NV000553,Vu Van Dung,Phi cong,Dieu hanh bay,291562477954,033192914500,nv553@airline.vn,1976-07-14,Nam
NV000554,Nguyen Thi Chi,Dieu hanh,Phuc vu mat dat,256862391556,086245401200,nv554@airline.vn,1961-02-24,Nam
NV000555,Pham Hung,Phi cong,Ky thuat may bay,237823659283,032543743800,nv555@airline.vn,1994-12-12,Nam
NV000556,Vo Uyen,Tiep vien,Phuc vu mat dat,997457984940,098533772900,nv556@airline.vn,1979-07-24,Nam
NV000557,Hoang Thi Khanh,Ky thuat,Dieu hanh bay,344759774135,098603057700,nv557@airline.vn,1984-01-04,Nam
NV000558,Huynh Van Manh,Tiep vien,Dieu hanh bay,919132634341,098443862100,nv558@airline.vn,1979-08-28,Nam
NV000559,Hoang Duc Manh,Dieu hanh,Dieu hanh bay,637227712770,086997175100,nv559@airline.vn,1970-03-11,Nam
NV000560,Le Thi Viet,Ky thuat,Dieu hanh bay,104238555624,096757641000,nv560@airline.vn,1986-12-26,Khac
NV000561,Huynh Thi Thu,Tiep vien,Ky thuat may bay,185828758492,096841435100,nv561@airline.vn,1986-09-15,Nu
NV000562,Bui Oanh,Ky thuat,Khai thac bay,274643641513,096200813400,nv562@airline.vn,1973-06-01,Nam
NV000563,Vu Duc Dung,Dieu hanh,An toan bay,238064190860,033625474100,nv563@airline.vn,1977-04-10,Nam
NV000564,Hoang Uyen,Dieu hanh,Phuc vu mat dat,224328455345,033245761500,nv564@airline.vn,1981-11-14,Nu
NV000565,Bui Thi Son,Tiep vien,Ky thuat may bay,965757311352,033128843200,nv565@airline.vn,1985-11-23,Nu
NV000566,Hoang Van Chi,Phi cong,Tai chinh,773065430710,086428103200,nv566@airline.vn,1994-09-03,Nam
NV000567,Vo Van Manh,Ky thuat,Phuc vu mat dat,346130501150,034582345300,nv567@airline.vn,1992-09-26,Nam
NV000568,Tran Duc Anh,Dieu hanh,Dieu hanh bay,123780548215,086779731600,nv568@airline.vn,1976-01-12,Nam
NV000569,Tran Thi Binh,Phi cong,Phuc vu mat dat,440896149751,033568027100,nv569@airline.vn,1965-12-06,Nam
NV000570,Nguyen Dung,Phi cong,Ky thuat may bay,918669303047,096811159200,nv570@airline.vn,1960-04-16,Nam
NV000571,Tran Anh,Phi cong,Khai thac bay,276963973110,032438303200,nv571@airline.vn,1966-10-15,Nam
NV000572,Tran Duc Chi,Phi cong,Khai thac bay,427318841731,086295918300,nv572@airline.vn,1975-02-25,Khac
NV000573,Tran Cuong,Dieu hanh,Dieu hanh bay,954894287342,097276097400,nv573@airline.vn,1984-03-25,Nu
NV000574,Bui Duc Binh,Phi cong,An toan bay,412020845005,098882924400,nv574@airline.vn,1993-06-28,Nu
NV000575,Nguyen Van Dung,Tiep vien,Dieu hanh bay,346276543395,034989375500,nv575@airline.vn,1970-12-04,Nam
NV000576,Vo Khanh,Dieu hanh,Tai chinh,615410949474,033885143500,nv576@airline.vn,1998-01-23,Nam
NV000577,Vo Dung,Phi cong,Dieu hanh bay,705708459000,097958969400,nv577@airline.vn,1967-10-16,Nam
NV000578,Le Lan,Tiep vien,Dieu hanh bay,952509819537,032998376000,nv578@airline.vn,1972-08-11,Nam
NV000579,Nguyen Viet,Dieu hanh,Khai thac bay,297598449194,098581163700,nv579@airline.vn,1995-01-22,Nu
NV000580,Huynh Van Viet,Phi cong,Phuc vu mat dat,381970323217,097591841200,nv580@airline.vn,1972-03-07,Khac
NV000581,Le Van Khanh,Ky thuat,An toan bay,967746823461,086741605500,nv581@airline.vn,1995-06-28,Khac
NV000582,Hoang Thu,Phi cong,Dieu hanh bay,588770916204,097698120000,nv582@airline.vn,1964-07-20,Nam
NV000583,Pham Duc Cuong,Tiep vien,Khai thac bay,161511894826,097293676300,nv583@airline.vn,1986-05-27,Nam
NV000584,Vu Van Chi,Ky thuat,Khai thac bay,315682887926,034177880900,nv584@airline.vn,1993-05-26,Nam
NV000585,Hoang Van Lan,Dieu hanh,An toan bay,344236332659,096329769900,nv585@airline.vn,1978-09-28,Nu
NV000586,Dang Thi Chi,Phi cong,Khai thac bay,912208968514,086225148300,nv586@airline.vn,1960-06-28,Nam
NV000587,Nguyen Van Hung,Tiep vien,Khai thac bay,621310490253,097711912700,nv587@airline.vn,1995-07-23,Nu
NV000588,Vu Thi Manh,Dieu hanh,Ky thuat may bay,440301737351,096252194800,nv588@airline.vn,1965-01-11,Nam
NV000589,Tran Nam,Ky thuat,Ky thuat may bay,637538642397,096812169800,nv589@airline.vn,1967-06-16,Nam
NV000590,Dang Duc Phu,Phi cong,Phuc vu mat dat,948453646654,032853364200,nv590@airline.vn,1991-06-26,Nam
NV000591,Le Duc Manh,Dieu hanh,Dieu hanh bay,209550397894,034707805900,nv591@airline.vn,1976-03-13,Nam
NV000592,Bui Thi Viet,Tiep vien,Tai chinh,118826355182,033595994500,nv592@airline.vn,1978-07-25,Nu
NV000593,Hoang Uyen,Ky thuat,Phuc vu mat dat,490999556753,032840786100,nv593@airline.vn,1966-01-15,Nam
NV000594,Nguyen Anh,Phi cong,Ky thuat may bay,986413707556,034906454500,nv594@airline.vn,1994-11-25,Nam
NV000595,Vo Thi Binh,Phi cong,Dieu hanh bay,436373464187,033989320400,nv595@airline.vn,1961-03-15,Nu
NV000596,Tran Duc Oanh,Ky thuat,Tai chinh,521684475697,032371786900,nv596@airline.vn,1996-03-11,Nu
NV000597,Vu Anh,Tiep vien,Dieu hanh bay,710683947182,096603748200,nv597@airline.vn,1962-08-14,Khac
NV000598,Hoang Van Hung,Ky thuat,Tai chinh,516149551767,097447077600,nv598@airline.vn,1969-08-03,Nam
NV000599,Huynh Lan,Ky thuat,Dieu hanh bay,253294377396,034310353300,nv599@airline.vn,1973-09-14,Khac
NV000600,Bui Binh,Phi cong,Ky thuat may bay,675251283147,086492177400,nv600@airline.vn,1971-01-23,Nu
NV000601,Huynh Duc Manh,Phi cong,Ky thuat may bay,129155126092,097980512400,nv601@airline.vn,1998-03-16,Nam
NV000602,Bui Van Uyen,Tiep vien,An toan bay,597588086358,086531799100,nv602@airline.vn,1960-06-07,Nu
NV000603,Vu Van Viet,Ky thuat,An toan bay,647451020185,097668749100,nv603@airline.vn,1982-05-06,Khac
NV000604,Tran Van Cuong,Tiep vien,An toan bay,260029072598,098403546200,nv604@airline.vn,1990-04-28,Khac
NV000605,Le Thi Viet,Tiep vien,Khai thac bay,296306490608,033347002600,nv605@airline.vn,1990-02-04,Nam
NV000606,Vo Son,Ky thuat,An toan bay,218076466963,086375786600,nv606@airline.vn,1963-05-06,Nu
NV000607,Tran Duc Oanh,Dieu hanh,Dieu hanh bay,708069119503,033154327800,nv607@airline.vn,1983-03-04,Khac
NV000608,Bui Thi An,Dieu hanh,Phuc vu mat dat,130868705010,033793249100,nv608@airline.vn,1996-09-01,Nam
NV000609,Hoang Khanh,Tiep vien,Dieu hanh bay,185164156026,032808506600,nv609@airline.vn,1994-01-28,Nam
NV000610,Vo Van Viet,Tiep vien,Khai thac bay,590459573321,098165997600,nv610@airline.vn,1981-11-01,Nam
NV000611,Hoang Thi Cuong,Tiep vien,Phuc vu mat dat,299539189874,034569196600,nv611@airline.vn,1984-10-08,Nam
NV000612,Vo Duc Khanh,Ky thuat,Dieu hanh bay,366197296665,096108941200,nv612@airline.vn,1994-04-19,Nam
NV000613,Vu Duc Phu,Phi cong,Phuc vu mat dat,486035854189,096645343300,nv613@airline.vn,1966-12-20,Nam
NV000614,Bui Thi Manh,Ky thuat,Tai chinh,644421939673,033245972900,nv614@airline.vn,1970-10-04,Khac
NV000615,Pham Van Son,Tiep vien,An toan bay,571660870992,032310451100,nv615@airline.vn,1987-12-14,Khac
NV000616,Vu Thi Phu,Ky thuat,Phuc vu mat dat,806749602124,034697097200,nv616@airline.vn,1973-10-16,Nu
NV000617,Bui Duc Cuong,Phi cong,Dieu hanh bay,103104342076,096829555600,nv617@airline.vn,1979-01-14,Khac
NV000618,Huynh Van Uyen,Tiep vien,Khai thac bay,110933441814,097273279600,nv618@airline.vn,1996-03-20,Nam
NV000619,Le Van Khanh,Tiep vien,Ky thuat may bay,997141859969,033154650800,nv619@airline.vn,1977-05-18,Nam
NV000620,Bui Thi Manh,Tiep vien,Ky thuat may bay,314564189794,033446097100,nv620@airline.vn,1971-01-06,Nam
NV000621,Huynh Van Chi,Tiep vien,Ky thuat may bay,816855245421,098655971300,nv621@airline.vn,1982-01-04,Nam
NV000622,Huynh Duc Oanh,Phi cong,Phuc vu mat dat,546055186585,096946064300,nv622@airline.vn,1995-09-10,Nam
NV000623,Bui Thi Lan,Tiep vien,Phuc vu mat dat,530554536137,033815975600,nv623@airline.vn,1968-01-26,Nam
NV000624,Huynh Thi Cuong,Phi cong,Phuc vu mat dat,395445045652,098553358600,nv624@airline.vn,1965-03-19,Nam
NV000625,Vo Phu,Tiep vien,An toan bay,776891757078,033194693600,nv625@airline.vn,1967-03-08,Khac
NV000626,Vu Van Lan,Ky thuat,Dieu hanh bay,745572196368,034566163600,nv626@airline.vn,1970-02-01,Khac
NV000627,Le Duc Dat,Phi cong,An toan bay,475586887300,096264062500,nv627@airline.vn,1997-03-06,Khac
NV000628,Vo Thi Chi,Phi cong,Dieu hanh bay,355002417677,097772401000,nv628@airline.vn,1968-07-28,Nu
NV000629,Vo Thi Phu,Dieu hanh,Tai chinh,542028626157,034742726900,nv629@airline.vn,1966-03-23,Nam
NV000630,Bui Van Uyen,Ky thuat,Phuc vu mat dat,104408567907,096365649000,nv630@airline.vn,1994-05-11,Nam
NV000631,Hoang Thi Binh,Tiep vien,Tai chinh,169174291107,034486331800,nv631@airline.vn,1981-06-01,Nu
NV000632,Tran Thi Nam,Tiep vien,Khai thac bay,802578853567,032602498900,nv632@airline.vn,1975-11-27,Nam
NV000633,Dang Viet,Dieu hanh,Dieu hanh bay,253062804335,034882049300,nv633@airline.vn,1998-03-12,Nu
NV000634,Le Van Hung,Dieu hanh,An toan bay,878403839614,098526765900,nv634@airline.vn,1980-12-18,Nam
NV000635,Bui Van Khanh,Tiep vien,An toan bay,643240788804,032823806100,nv635@airline.vn,1991-11-13,Nam
NV000636,Pham Thi Manh,Dieu hanh,An toan bay,714120955446,086694400200,nv636@airline.vn,1966-06-28,Nam
NV000637,Le Phu,Dieu hanh,Tai chinh,402508681389,032972021500,nv637@airline.vn,1981-11-17,Nu
NV000638,Dang Thi Anh,Dieu hanh,Phuc vu mat dat,954581069755,034833572200,nv638@airline.vn,1990-03-13,Nam
NV000639,Nguyen Duc Anh,Ky thuat,Dieu hanh bay,822092790940,096382329900,nv639@airline.vn,1983-05-07,Nu
NV000640,Huynh Chi,Tiep vien,An toan bay,289661563814,033687811600,nv640@airline.vn,1960-02-18,Nam
NV000641,Huynh Thi Thu,Tiep vien,Dieu hanh bay,706329566927,086416591000,nv641@airline.vn,1997-05-06,Nam
NV000642,Tran Thi Khanh,Tiep vien,Ky thuat may bay,413907088704,096393606400,nv642@airline.vn,1998-01-26,Nam
NV000643,Bui Uyen,Tiep vien,Tai chinh,144853992861,033787713700,nv643@airline.vn,1985-01-09,Nu
NV000644,Nguyen Duc Cuong,Ky thuat,Phuc vu mat dat,173809492087,086578218300,nv644@airline.vn,1962-01-23,Nam
NV000645,Bui Van Chi,Phi cong,An toan bay,367231173048,034436873400,nv645@airline.vn,1994-10-06,Nam
NV000646,Le Oanh,Phi cong,Khai thac bay,752618724600,033741429000,nv646@airline.vn,1960-12-02,Khac
NV000647,Nguyen Thi Anh,Ky thuat,Dieu hanh bay,141485414843,034771045400,nv647@airline.vn,1977-07-04,Khac
NV000648,Nguyen Yen,Tiep vien,Dieu hanh bay,337431720011,097982014400,nv648@airline.vn,1982-01-01,Nu
NV000649,Pham Thi Viet,Tiep vien,Ky thuat may bay,200603850452,086814056200,nv649@airline.vn,1969-04-22,Nam
NV000650,Pham Lan,Phi cong,Khai thac bay,782008870122,034574986900,nv650@airline.vn,1965-07-10,Nam
NV000651,Pham Dung,Tiep vien,Ky thuat may bay,225789737005,097429886000,nv651@airline.vn,1989-03-15,Khac
NV000652,Vu Duc Anh,Ky thuat,Dieu hanh bay,137589776542,086449684500,nv652@airline.vn,1976-10-10,Nam
NV000653,Bui Duc Binh,Ky thuat,Khai thac bay,458515443518,098670728800,nv653@airline.vn,1966-09-18,Khac
NV000654,Nguyen Chi,Dieu hanh,An toan bay,308583505913,033602946900,nv654@airline.vn,1971-01-06,Nu
NV000655,Dang Manh,Tiep vien,Ky thuat may bay,395371324623,032932502600,nv655@airline.vn,1970-04-09,Nu
NV000656,Vu Thi Phu,Dieu hanh,Dieu hanh bay,381632170338,086118086200,nv656@airline.vn,1970-06-28,Nu
NV000657,Dang Thi Son,Ky thuat,Phuc vu mat dat,715975712496,096169562400,nv657@airline.vn,1977-12-15,Nam
NV000658,Pham Anh,Tiep vien,Khai thac bay,115688815284,032668585800,nv658@airline.vn,1974-09-28,Nu
NV000659,Huynh Duc Yen,Tiep vien,Khai thac bay,896247486681,034493351600,nv659@airline.vn,1980-10-20,Nam
NV000660,Nguyen Thi Cuong,Ky thuat,An toan bay,388096324121,097816959300,nv660@airline.vn,1963-05-16,Khac
NV000661,Tran Thi Oanh,Ky thuat,An toan bay,390007145225,034456144500,nv661@airline.vn,1989-01-13,Khac
NV000662,Tran Bao,Tiep vien,Dieu hanh bay,243741190188,097750451700,nv662@airline.vn,1974-07-18,Nam
NV000663,Huynh Van Oanh,Dieu hanh,Ky thuat may bay,670442422600,097156301000,nv663@airline.vn,1963-03-15,Khac
NV000664,Le Van Cuong,Phi cong,An toan bay,466395351123,032862393600,nv664@airline.vn,1995-07-01,Nu
NV000665,Pham Son,Ky thuat,Khai thac bay,349264890868,097516039100,nv665@airline.vn,1988-05-14,Nam
NV000666,Pham An,Ky thuat,Tai chinh,832034361721,033137334600,nv666@airline.vn,1985-08-23,Nam
NV000667,Dang Thi Hung,Tiep vien,Dieu hanh bay,623374499894,096571790800,nv667@airline.vn,1965-10-01,Khac
NV000668,Dang Anh,Tiep vien,Phuc vu mat dat,935381366942,034178334200,nv668@airline.vn,1984-08-25,Nam
NV000669,Bui Thi Uyen,Tiep vien,Tai chinh,288176288972,097964089100,nv669@airline.vn,1992-08-13,Nam
NV000670,Huynh Van Phu,Tiep vien,An toan bay,250916777098,098297884300,nv670@airline.vn,1989-01-09,Khac
NV000671,Tran Bao,Ky thuat,Khai thac bay,531245360950,033413430300,nv671@airline.vn,1963-02-13,Nam
NV000672,Bui An,Tiep vien,An toan bay,295770426128,098953910200,nv672@airline.vn,1965-11-19,Nam
NV000673,Vo Thi Dung,Ky thuat,Tai chinh,945608491161,033491547300,nv673@airline.vn,1989-02-15,Nam
NV000674,Dang Duc Uyen,Dieu hanh,Ky thuat may bay,543118715190,096589788500,nv674@airline.vn,1970-01-07,Nam
NV000675,Tran Duc Manh,Tiep vien,Tai chinh,804329827564,096132342500,nv675@airline.vn,1967-05-12,Khac
NV000676,Vo An,Dieu hanh,Phuc vu mat dat,774582636278,034836837200,nv676@airline.vn,1972-01-12,Nu
NV000677,Bui Thi Anh,Tiep vien,Phuc vu mat dat,918245513971,098566299300,nv677@airline.vn,1975-01-23,Nam
NV000678,Tran Van Viet,Ky thuat,Dieu hanh bay,108278218866,086732341900,nv678@airline.vn,1977-11-08,Nam
NV000679,Huynh Van Anh,Phi cong,Dieu hanh bay,738972587372,097338096900,nv679@airline.vn,1992-02-11,Nam
NV000680,Pham Van Viet,Phi cong,Dieu hanh bay,551641907057,097600537800,nv680@airline.vn,1962-08-02,Nam
NV000681,Nguyen Van Anh,Dieu hanh,Tai chinh,598497913186,033774630500,nv681@airline.vn,1969-09-06,Khac
NV000682,Dang Duc Khanh,Tiep vien,An toan bay,926034949522,032132280200,nv682@airline.vn,1989-03-17,Nu
NV000683,Bui Khanh,Tiep vien,Khai thac bay,559884748369,096103661100,nv683@airline.vn,1987-10-22,Nam
NV000684,Bui Van Thu,Tiep vien,Dieu hanh bay,531241106998,033126098600,nv684@airline.vn,1995-01-17,Nam
NV000685,Nguyen Van Manh,Ky thuat,Khai thac bay,931658580631,098393987500,nv685@airline.vn,1986-04-22,Nu
NV000686,Hoang Thi Nam,Tiep vien,An toan bay,793128201076,097408500100,nv686@airline.vn,1976-06-17,Khac
NV000687,Nguyen Thi Chi,Phi cong,Tai chinh,425328219180,098339250100,nv687@airline.vn,1979-03-22,Nu
NV000688,Pham Van Uyen,Dieu hanh,Khai thac bay,603468216451,034517155400,nv688@airline.vn,1960-03-18,Nu
NV000689,Bui Viet,Phi cong,Phuc vu mat dat,514936983191,097853060900,nv689@airline.vn,1960-03-25,Nu
NV000690,Pham Duc Thu,Tiep vien,Tai chinh,144273977560,034695355900,nv690@airline.vn,1974-12-25,Khac
NV000691,Hoang Van Anh,Dieu hanh,Dieu hanh bay,507118974374,098567046400,nv691@airline.vn,1961-04-28,Khac
NV000692,Hoang Thi Anh,Phi cong,Ky thuat may bay,889734011872,096857943300,nv692@airline.vn,1991-04-17,Nu
NV000693,Hoang Thu,Tiep vien,Phuc vu mat dat,241565258335,033817876100,nv693@airline.vn,1962-07-13,Khac
NV000694,Bui Dat,Tiep vien,An toan bay,242050417591,034620784800,nv694@airline.vn,1996-08-28,Nam
NV000695,Le Duc Binh,Tiep vien,An toan bay,527454192850,033378142000,nv695@airline.vn,1986-10-20,Nam
NV000696,Nguyen Thu,Ky thuat,Khai thac bay,602367285310,096784814700,nv696@airline.vn,1971-04-12,Khac
NV000697,Bui Thi Cuong,Dieu hanh,Tai chinh,970174128681,097515988200,nv697@airline.vn,1973-06-25,Khac
NV000698,Vu Bao,Ky thuat,Dieu hanh bay,304487323070,034827843100,nv698@airline.vn,1960-05-04,Nam
NV000699,Hoang Thi Anh,Phi cong,An toan bay,378346004628,096514429600,nv699@airline.vn,1966-06-07,Nam
NV000700,Bui Thi Chi,Tiep vien,Dieu hanh bay,130107048705,032211566000,nv700@airline.vn,1978-05-02,Khac
NV000701,Vu Van Hung,Tiep vien,Tai chinh,828650063372,033156632600,nv701@airline.vn,1978-12-19,Nam
NV000702,Pham Van Oanh,Phi cong,Phuc vu mat dat,991276951087,096931656900,nv702@airline.vn,1980-03-21,Khac
NV000703,Le Binh,Tiep vien,Tai chinh,428065684303,033327217700,nv703@airline.vn,1978-01-11,Nam
NV000704,Nguyen Thi Anh,Tiep vien,Ky thuat may bay,356974983594,032912821300,nv704@airline.vn,1987-07-20,Nam
NV000705,Bui Nam,Tiep vien,An toan bay,953956680235,096156967400,nv705@airline.vn,1983-07-18,Nam
NV000706,Nguyen Chi,Tiep vien,Phuc vu mat dat,589638203810,096785334400,nv706@airline.vn,1986-02-17,Khac
NV000707,Bui Phu,Tiep vien,Tai chinh,907090290917,097587176200,nv707@airline.vn,1960-05-08,Nu
NV000708,Vo Van Nam,Tiep vien,Ky thuat may bay,821866073849,033908933300,nv708@airline.vn,1980-07-04,Nam
NV000709,Nguyen Yen,Ky thuat,Phuc vu mat dat,287442524326,032932701900,nv709@airline.vn,1982-01-08,Khac
NV000710,Tran Thi Cuong,Phi cong,Phuc vu mat dat,468057264481,098219089100,nv710@airline.vn,1997-04-17,Khac
NV000711,Pham Lan,Phi cong,Phuc vu mat dat,904439944180,033593121300,nv711@airline.vn,1979-05-28,Khac
NV000712,Hoang Van Bao,Tiep vien,Dieu hanh bay,127622016671,086996817800,nv712@airline.vn,1986-03-25,Nam
NV000713,Huynh Van Chi,Ky thuat,Dieu hanh bay,182984578261,098219608800,nv713@airline.vn,1990-11-02,Nu
NV000714,Tran Thi Yen,Tiep vien,An toan bay,480504422077,032549603400,nv714@airline.vn,1982-07-07,Nu
NV000715,Nguyen Van Dat,Dieu hanh,Ky thuat may bay,102185637929,034681023000,nv715@airline.vn,1994-12-03,Nam
NV000716,Huynh Duc Viet,Tiep vien,Tai chinh,782044099550,086713618900,nv716@airline.vn,1975-10-22,Nam
NV000717,Vu Binh,Ky thuat,Khai thac bay,409454878004,032512434200,nv717@airline.vn,1960-12-10,Nu
NV000718,Hoang Duc Dung,Phi cong,Phuc vu mat dat,885070466817,096351006100,nv718@airline.vn,1971-02-26,Nam
NV000719,Pham Cuong,Ky thuat,Phuc vu mat dat,906330355287,032500216100,nv719@airline.vn,1992-06-27,Khac
NV000720,Hoang An,Dieu hanh,An toan bay,263262219186,086639716200,nv720@airline.vn,1970-10-23,Nu
NV000721,Tran Duc Thu,Ky thuat,Tai chinh,325916624750,098441791600,nv721@airline.vn,1975-06-24,Khac
NV000722,Le Van Lan,Tiep vien,An toan bay,615333599345,034542326400,nv722@airline.vn,1961-09-17,Nam
NV000723,Vu Van Yen,Dieu hanh,Tai chinh,765569411805,096910285700,nv723@airline.vn,1962-10-06,Nam
NV000724,Tran Van Dat,Dieu hanh,Tai chinh,863741069219,097573364900,nv724@airline.vn,1974-02-03,Nam
NV000725,Le Thu,Phi cong,Khai thac bay,689850560930,034667914300,nv725@airline.vn,1995-01-11,Nam
NV000726,Vu Thi Manh,Phi cong,Khai thac bay,819810747280,086154271800,nv726@airline.vn,1978-08-26,Nam
NV000727,Le Duc An,Tiep vien,An toan bay,619282951480,097111761500,nv727@airline.vn,1990-08-09,Nu
NV000728,Hoang Oanh,Phi cong,An toan bay,949024460373,033429984800,nv728@airline.vn,1965-08-25,Nam
NV000729,Hoang Van Thu,Dieu hanh,An toan bay,900319732657,033556842400,nv729@airline.vn,1986-08-26,Khac
NV000730,Vu Hung,Tiep vien,Phuc vu mat dat,870202384201,098730700700,nv730@airline.vn,1960-06-08,Nam
NV000731,Le Van Thu,Dieu hanh,Ky thuat may bay,241804546695,034915644100,nv731@airline.vn,1995-08-01,Nam
NV000732,Vu Anh,Phi cong,Ky thuat may bay,997339469892,032759966500,nv732@airline.vn,1975-01-13,Khac
NV000733,Pham Van Uyen,Tiep vien,Khai thac bay,903714076319,096247186500,nv733@airline.vn,1987-05-27,Nam
NV000734,Bui Van Bao,Phi cong,Phuc vu mat dat,149764247032,096298416700,nv734@airline.vn,1970-01-26,Nam
NV000735,Nguyen Duc Hung,Tiep vien,Khai thac bay,390375480577,034365213500,nv735@airline.vn,1972-08-25,Nu
NV000736,Bui Duc Viet,Tiep vien,Khai thac bay,815431935803,098413185200,nv736@airline.vn,1985-01-02,Khac
NV000737,Nguyen Hung,Tiep vien,Dieu hanh bay,426135956865,097639690700,nv737@airline.vn,1976-05-21,Nam
NV000738,Nguyen Duc Phu,Dieu hanh,An toan bay,861418312919,034652604000,nv738@airline.vn,1974-09-03,Nam
NV000739,Dang Van An,Dieu hanh,An toan bay,483924075669,097687858500,nv739@airline.vn,1993-04-10,Nu
NV000740,Huynh Thu,Tiep vien,Phuc vu mat dat,974442963224,097722425700,nv740@airline.vn,1969-02-16,Khac
NV000741,Nguyen Phu,Ky thuat,Khai thac bay,550162470039,032804641500,nv741@airline.vn,1968-05-18,Khac
